@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1,'2017/11/01 22:00:16:073',1,1,0,0.981929,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
2,'2017/11/01 22:00:16:102',1,1,0,0.981929,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
3,'2017/11/01 22:00:16:131',1,1,0,0.981685,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
4,'2017/11/01 22:00:16:152',1,1,0,0.981685,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
5,'2017/11/01 22:00:16:183',1,1,0,0.981685,0.086275,0.171924,0.412667,0.945266,0.083828,0.210086
6,'2017/11/01 22:00:16:202',1,1,0,0.981929,0.086275,0.171924,0.412667,0.945266,0.083828,0.210086
7,'2017/11/01 22:00:16:234',1,1,0,0.981929,0.086275,0.171924,0.412667,0.945266,0.083828,0.210086
8,'2017/11/01 22:00:16:256',1,1,0,0.981685,0.086275,0.171924,0.412667,0.945266,0.083828,0.210086
9,'2017/11/01 22:00:16:285',1,1,0,0.982173,0.086275,0.171924,0.412667,0.945266,0.083828,0.210086
10,'2017/11/01 22:00:16:316',1,1,0,0.982418,0.086275,0.171924,0.412667,0.945266,0.083828,0.210086
11,'2017/11/01 22:00:16:335',1,1,0,0.981685,0.086275,0.171924,0.412667,0.945266,0.083828,0.210086
12,'2017/11/01 22:00:16:369',1,1,0,0.982662,0.086275,0.171924,0.412667,0.945266,0.083828,0.210086
13,'2017/11/01 22:00:16:393',1,1,0,0.983394,0.086275,0.171924,0.412667,0.945266,0.083828,0.210086
14,'2017/11/01 22:00:16:398',1,1,0,0.982906,0.086275,0.171924,0.412667,0.945266,0.083828,0.210086
15,'2017/11/01 22:00:16:423',1,1,0,0.983639,0.086275,0.171924,0.412667,0.945266,0.083828,0.210086
